Country,Correlation,Annual CO₂ emissions growth (%)_1951,Annual CO₂ emissions growth (%)_1952,Annual CO₂ emissions growth (%)_1953,Annual CO₂ emissions growth (%)_1954,Annual CO₂ emissions growth (%)_1955,Annual CO₂ emissions growth (%)_1956,Annual CO₂ emissions growth (%)_1957,Annual CO₂ emissions growth (%)_1958,Annual CO₂ emissions growth (%)_1959,Annual CO₂ emissions growth (%)_1960,Annual CO₂ emissions growth (%)_1961,Annual CO₂ emissions growth (%)_1962,Annual CO₂ emissions growth (%)_1963,Annual CO₂ emissions growth (%)_1964,Annual CO₂ emissions growth (%)_1965,Annual CO₂ emissions growth (%)_1966,Annual CO₂ emissions growth (%)_1967,Annual CO₂ emissions growth (%)_1968,Annual CO₂ emissions growth (%)_1969,Annual CO₂ emissions growth (%)_1970,Annual CO₂ emissions growth (%)_1971,Annual CO₂ emissions growth (%)_1972,Annual CO₂ emissions growth (%)_1973,Annual CO₂ emissions growth (%)_1974,Annual CO₂ emissions growth (%)_1975,Annual CO₂ emissions growth (%)_1976,Annual CO₂ emissions growth (%)_1977,Annual CO₂ emissions growth (%)_1978,Annual CO₂ emissions growth (%)_1979,Annual CO₂ emissions growth (%)_1980,Annual CO₂ emissions growth (%)_1981,Annual CO₂ emissions growth (%)_1982,Annual CO₂ emissions growth (%)_1983,Annual CO₂ emissions growth (%)_1984,Annual CO₂ emissions growth (%)_1985,Annual CO₂ emissions growth (%)_1986,Annual CO₂ emissions growth (%)_1987,Annual CO₂ emissions growth (%)_1988,Annual CO₂ emissions growth (%)_1989,Annual CO₂ emissions growth (%)_1990,Annual CO₂ emissions growth (%)_1991,Annual CO₂ emissions growth (%)_1992,Annual CO₂ emissions growth (%)_1993,Annual CO₂ emissions growth (%)_1994,Annual CO₂ emissions growth (%)_1995,Annual CO₂ emissions growth (%)_1996,Annual CO₂ emissions growth (%)_1997,Annual CO₂ emissions growth (%)_1998,Annual CO₂ emissions growth (%)_1999,Annual CO₂ emissions growth (%)_2000,Annual CO₂ emissions growth (%)_2001,Annual CO₂ emissions growth (%)_2002,Annual CO₂ emissions growth (%)_2003,Annual CO₂ emissions growth (%)_2004,Annual CO₂ emissions growth (%)_2005,Annual CO₂ emissions growth (%)_2006,Annual CO₂ emissions growth (%)_2007,Annual CO₂ emissions growth (%)_2008,Annual CO₂ emissions growth (%)_2009,Annual CO₂ emissions growth (%)_2010,Annual CO₂ emissions growth (%)_2011,Annual CO₂ emissions growth (%)_2012,Annual CO₂ emissions growth (%)_2013,Annual CO₂ emissions growth (%)_2014,Annual CO₂ emissions growth (%)_2015,Annual CO₂ emissions growth (%)_2016,Annual CO₂ emissions growth (%)_2017,Annual CO₂ emissions growth (%)_2018,Annual CO₂ emissions growth (%)_2019,Annual CO₂ emissions growth (%)_2020,Annual CO₂ emissions growth (%)_2021,Population Growth %_1951,Population Growth %_1952,Population Growth %_1953,Population Growth %_1954,Population Growth %_1955,Population Growth %_1956,Population Growth %_1957,Population Growth %_1958,Population Growth %_1959,Population Growth %_1960,Population Growth %_1961,Population Growth %_1962,Population Growth %_1963,Population Growth %_1964,Population Growth %_1965,Population Growth %_1966,Population Growth %_1967,Population Growth %_1968,Population Growth %_1969,Population Growth %_1970,Population Growth %_1971,Population Growth %_1972,Population Growth %_1973,Population Growth %_1974,Population Growth %_1975,Population Growth %_1976,Population Growth %_1977,Population Growth %_1978,Population Growth %_1979,Population Growth %_1980,Population Growth %_1981,Population Growth %_1982,Population Growth %_1983,Population Growth %_1984,Population Growth %_1985,Population Growth %_1986,Population Growth %_1987,Population Growth %_1988,Population Growth %_1989,Population Growth %_1990,Population Growth %_1991,Population Growth %_1992,Population Growth %_1993,Population Growth %_1994,Population Growth %_1995,Population Growth %_1996,Population Growth %_1997,Population Growth %_1998,Population Growth %_1999,Population Growth %_2000,Population Growth %_2001,Population Growth %_2002,Population Growth %_2003,Population Growth %_2004,Population Growth %_2005,Population Growth %_2006,Population Growth %_2007,Population Growth %_2008,Population Growth %_2009,Population Growth %_2010,Population Growth %_2011,Population Growth %_2012,Population Growth %_2013,Population Growth %_2014,Population Growth %_2015,Population Growth %_2016,Population Growth %_2017,Population Growth %_2018,Population Growth %_2019,Population Growth %_2020,Population Growth %_2021
Macao,-0.120579577,,,,,0,16.666662,14.285719,0,25,39.999996,35.71428,36.84211,11.538458,20.689667,2.8571367,13.888884,9.7561,2.222228,0,21.739124,10.714281,1.6129017,-3.174603,19.67213,10.95891,-14.814817,21.739138,34.523808,0,27.433634,1.3888836,-9.589041,40.90909,-11.290323,21.212124,19.500006,10.878658,-0.754714,6.8441153,0.35586357,5.673766,-1.0067105,9.152544,7.76397,-3.1700313,14.285719,5.7291627,4.679799,-2.5882363,7.487917,3.3707857,-10.000002,0.9661794,11.961722,6.6239357,-11.422843,-15.837103,-16.935486,66.990295,-34.689922,4.747772,-12.464589,-12.621361,30.740738,36.827194,0.62111616,8.230448,-35.551334,-2.359885,-14.80363,3.4401298,,,,,-1.843773593,-2.237835644,-2.477654202,-2.639411138,-2.70895718,-2.634333106,0.701567253,3.998629789,3.953369419,3.916462639,3.858249525,3.81291439,3.766495247,3.671172072,3.537401294,3.279712784,1.565672669,0.127387483,0.231183922,0.274525363,0.264743765,0.199773372,0.084570984,-0.063599157,-0.201212339,-0.205547238,1.312847283,3.226916447,3.740175236,3.884767963,4.000262002,4.06053184,4.022057464,3.900741773,3.758900727,3.584107307,3.199405796,2.477425044,1.960115613,1.853443624,1.794783536,1.759617804,1.741149099,1.690545201,1.629880653,1.583608907,1.823379061,2.654017615,3.226463666,3.234544669,3.189101036,3.120300752,3.035611144,2.925150112,2.797292913,2.685962602,2.400198775,1.882739555,1.600632158,1.605123115,1.635108577,1.674408077,1.708938455,1.725616207,1.705137177,1.628905039,1.192572119
Madagascar,-0.002357191,-19.279009,25.388454,-17.857147,14.492762,5.0632954,4.819274,-1.1494279,18.604649,0,6.8627477,-11.009174,11.3236065,16.639078,4.763305,15.163565,3.9378285,45.58082,8.259762,-6.8325996,14.229107,5.6622148,25.367283,-16.529905,10.588527,42.60113,-41.37569,-14.778066,20.295025,11.110819,42.7966,-36.51933,-1.0934591,-35.81691,33.20787,21.544897,7.9832435,12.779999,0.26333332,-27.997774,1.9977331,8.532286,-2.148664,2.9191852,11.630524,3.496039,4.4361115,23.27422,5.4632664,8.874512,10.503387,-10.517216,-29.099554,36.919056,6.6379547,-3.5079181,-3.8119435,3.601098,2.5901198,-4.133749,9.696794,26.823938,15.5972,16.885567,-1.550138,2.2045255,1.2487769,26.045227,-7.9529343,12.265968,-6.870002,7.637012,2.555904778,2.473044278,2.459423105,2.396040178,2.353953764,2.36799678,2.379581337,2.395203447,2.41197523,2.430830725,2.44868151,2.468798196,2.502289622,2.584400563,2.654271499,2.699214942,2.80360614,2.90459898,2.969303432,3.038334296,3.120214273,3.1709139,3.155178422,3.09031126,3.033933446,3.001929494,2.976469789,2.961718952,2.944008813,2.911808315,2.867236785,2.841129161,2.831082969,2.827660476,2.847556578,2.873500874,2.920334587,2.984528227,3.034723704,3.088059715,3.133848517,3.154757885,3.18918177,3.224025147,3.230914709,3.216856883,3.186762655,3.140736939,3.078748335,3.01069441,2.963064002,2.936409761,2.925179441,2.937003436,2.959886282,2.98863686,3.005816862,3.004419141,3.00113574,2.971562206,2.901886906,2.818402766,2.752696484,2.696309183,2.644059775,2.642039109,2.645989287,2.611030151,2.573786478,2.527743465,2.458889421
Malawi,-0.078243741,10.268175,12.485207,8.992004,9.948754,17.92984,9.019316,2.9306889,-10.674357,11.557568,-4.6534896,-14.835053,-3.402996,-3.8570344,-4.9217644,5.557561,23.148859,-14.535952,5.987084,-1.904428,19.25459,10.483658,8.750736,4.6818733,-3.856492,5.3146124,0.6427765,9.428013,5.1620483,-4.929119,11.520565,-14.959669,-1.7818987,-3.1286955,-3.1942368,0.023019314,-0.69313645,-1.3322353,-0.6619036,4.0377736,31.41594,6.3859105,-0.066149235,12.057853,2.2398114,0.5269766,1.4371753,-0.50840974,-1.4320314,-0.9414971,-3.9874017,-9.840071,10.731543,7.271838,-1.8313587,-5.8441043,-0.1177907,8.430243,8.581352,1.4958382,-4.4220567,9.0507145,0.9429455,7.481754,-9.17359,4.047632,11.333429,1.9956708,40.12059,-5.021286,14.31402,11.1004715,1.676393583,1.780707156,1.938626887,2.008418014,2.089402419,2.209318988,2.288518794,2.350545082,2.41157362,2.464202349,2.499950471,2.536599114,2.540349461,2.513060049,2.467649025,2.427533119,2.429601673,2.411178821,2.370340383,2.37705488,2.436297663,2.516602327,2.616220568,2.723881456,2.844651264,2.98767101,3.210256225,3.527359645,3.794777112,3.948574463,4.02048197,4.032462046,3.998141393,3.924400371,3.833961381,3.668532915,4.83182943,5.481886697,4.756825795,3.943762928,3.031542086,2.880728218,1.409287222,-1.204616142,-0.137179314,2.035877848,2.048173459,2.17547363,2.308666577,2.356167897,2.411697824,2.475778785,2.555881486,2.646630786,2.731010159,2.796052212,2.822295349,2.855795848,2.875776537,2.855580793,2.830958691,2.810904123,2.802477245,2.80397701,2.795815644,2.774138631,2.773801774,2.790296556,2.815491581,2.824312145,2.790442574
Malaysia,0.132023273,42.814507,22.039043,2.009344,7.774627,6.075847,1.7874599,-53.54291,9.073103,-16.932106,31.986427,11.507189,1.9558549,22.012102,26.963795,13.255382,17.352318,2.98146,3.9755106,-13.223535,59.62218,14.237774,7.430005,-2.209419,8.79488,2.102828,22.897648,-5.3427935,2.8275013,17.392159,2.6611805,10.149134,-0.7633984,24.170673,-8.5519495,4.4125915,10.3829975,1.9345641,4.871905,16.82948,8.3569765,21.219646,10.908068,18.856121,1.5191674,25.904095,-0.18780828,8.13142,-8.231401,-5.278784,18.167246,6.520283,0.87492466,16.16925,10.622967,0.17033815,0.11714697,3.10539,9.915185,-0.3774941,3.7617445,2.059865,4.6878815,13.465953,1.398027,-3.8947046,0.5569339,3.0775666,7.4154854,2.0163894,0.65585375,3.5701394,2.578496399,2.642143705,2.649979721,2.700364579,2.756417185,2.80148323,2.848825849,2.825093298,2.836507796,2.907184634,2.931930517,2.934014483,2.919859818,2.875226046,2.821326543,2.717168472,2.585602635,2.528200345,2.521361508,2.534221632,2.503832637,2.486232206,2.550912813,2.610548344,2.633884129,2.636289196,2.715929615,2.772621908,2.730403025,2.716391337,2.686625362,2.646582205,2.668985703,2.739176689,2.845908544,2.947802064,3.009843677,3.027260096,2.959838091,2.878390524,2.82579205,2.81486487,2.822685085,2.831824357,2.805721064,2.747059061,2.714059629,2.646848299,2.559363632,2.551010269,2.569744498,2.554586151,2.517787634,2.471371238,2.419506163,2.35817886,2.295839581,2.19823498,2.068533118,1.813557377,1.645930818,1.653169508,1.616789967,1.573572486,1.512165709,1.46187391,1.398597467,1.278644552,1.186776758,1.137577894,1.062698257
Maldives,0.016189925,,,,,,,,,,,,,,,,,,,,,,0,0,0,100,50,33.333336,50,33.333336,50,8.333338,0,7.692313,14.285719,12.5,22.222221,0,18.181812,30.76923,38.235294,-10.638296,50,-14.285713,0,25.925922,16.176474,13.92405,-8.888888,40.2439,6.9565177,2.439022,28.571426,-14.814817,31.884062,-9.890109,23.780489,4.9261093,7.981217,4.782605,5.8091283,5.4901958,12.639403,-1.6501665,20.469797,-2.7855158,12.320911,5.3571463,15.01211,12.210524,-15.572232,4.3467402,,,,,,,,,,,,,,,,,,,,,,3.096740426,3.017981598,2.951469955,3.010161419,3.031628586,2.919317861,2.771319481,2.793054936,2.924314276,2.994975824,2.980470779,2.877438816,2.897390912,3.308040269,3.581746754,3.47083526,3.227333173,3.002263354,3.015730811,3.015875046,2.826491015,2.617885029,2.418738098,2.267746179,2.150062263,1.971514367,1.806763501,1.666201353,1.740924946,1.941476289,2.014643604,2.005453946,1.987126224,1.948138437,2.798920594,3.888144479,4.069264876,3.963853977,3.83304119,3.676397021,3.491647961,3.284822514,3.826639532,4.348905964,4.102329423,3.816797269,3.480605275,2.811747566,1.740097313,1.134176295
Mali,-0.064074816,,,,,,,,,,153.84615,-3.0303001,18.75,26.315784,0,12.5,-3.7037015,17.307686,-11.475409,-18.51852,25,12.727272,8.06452,8.882713,13.707757,12.045383,-0.08427501,21.517849,-4.480338,8.346415,-8.5459175,0.9048343,-7.5343666,14.101481,4.367757,-6.769496,-6.3571987,-5.8235765,7.139766,8.57687,1.5295148,0.86467266,8.600259,8.711147,9.065008,8.535301,8.548557,12.472736,28.576447,3.9215684,9.811317,8.934712,4.1009426,3.0303001,12.941181,3.3854127,5.541563,16.467785,9.426224,-3.5580516,10.679615,9.122812,6.913185,12.592924,14.298164,4.6538353,29.042768,9.960281,5.4170847,18.822502,10.046148,7.9396605,,,,,,,,,,1.378881301,1.399913472,1.403988718,1.397055156,1.386166534,1.397219082,1.393253359,1.392424367,1.426704361,1.455204412,1.497574825,1.509508727,1.555365948,1.662109657,1.724260071,1.748765031,1.740441754,1.815272532,1.925521378,1.992201953,2.084590739,2.119701748,2.115725378,2.125632896,2.056344756,1.897303012,1.722682147,1.602650365,1.623090177,1.770598508,1.919042913,1.97774205,2.042013886,2.119251781,2.184969367,2.19808681,2.168196033,2.294277911,2.59586531,2.881889615,3.049338929,3.163827111,3.265651429,3.322869094,3.359339199,3.37086328,3.349485991,3.324323128,3.285329947,3.243448158,3.229011451,3.207295065,2.861306144,2.869529003,3.153103716,3.140440166,3.204958113,3.249077899,3.224099516,3.190936968,3.230033268,3.265405697
Malta,-0.188654952,4.47762,-5.7142916,-4.545456,33.333336,10.714281,-12.903225,4.9382687,5.8823586,17.777777,-12.264151,-13.978493,12.5,24.444448,21.428574,-5.1470575,-12.403101,25.663721,22.535217,2.2988558,1.6853929,-0.5524874,27.222229,-3.9301336,-7.727271,-10.344828,14.285719,5.288458,16.438353,-3.1372547,12.955463,11.827957,14.74359,-24.022346,36.764706,-12.096775,23.853207,24.938274,8.498013,7.832432,11.90865,-6.4082623,0.9575486,25.8106,-7.875103,-7.7574196,3.3367395,0.8801341,-1.2249589,1.8982291,-4.0698586,10.874772,0.38983822,7.7753305,-3.7751853,-6.753045,0.40750504,2.397573,-1.501298,-6.0989437,3.026116,-0.7253766,5.1522255,-12.432414,-0.6234348,-29.56853,-18.55499,12.868929,1.0383844,6.5964103,-3.1274319,0.5964756,2.023060752,2.011512892,2.046731804,1.88258378,1.693142004,1.469812948,1.104125511,0.785545367,0.478816485,0.244487334,-0.036061473,-0.36910279,-0.61757371,-0.771488563,-0.870372374,-0.916756792,-0.76310405,-0.553226115,-0.432666341,-0.265718204,-0.024628173,0.172569676,0.337796626,0.528851439,0.734361371,0.844719291,0.887225872,0.909551388,0.90359235,0.885452722,0.808146231,0.779240774,0.821210742,0.784754233,0.704123645,0.713835657,0.755522122,0.825213167,0.923416307,0.955951329,0.906641828,0.892069882,0.935854273,0.894146076,0.8535379,0.875971684,0.93999381,0.953746726,0.880739758,0.796873034,0.715565444,0.598257064,0.531156028,0.470561422,0.366832162,0.28412601,0.250967233,0.2854094,0.437083011,0.713579638,1.087138523,1.4429258,1.713048318,1.969429484,2.217597982,2.390504121,2.450607155,2.439145515,2.367830987,2.229300675,2.105197434
Marshall Islands,0.215968508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.523809,0,4.347825,0,0,4.1666627,-4.000002,12.5,3.7037015,7.1428537,-3.333336,10.344828,-3.125,6.4516187,3.0303001,2.9411793,2.8571367,2.777779,2.702701,-2.6315808,2.702701,2.6315808,0,0,2.5641084,0,0,0,4.3470263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98094487,1.897077056,1.797004854,1.711801504,1.677813584,1.640725085,1.368711961,0.900787857,0.5452949,0.327951186,0.168856446,0.020139109,-0.061150905,-0.152224606,-0.250357787,-0.422181182,-0.469866827,-0.468683265,-0.932286742,-1.537128751,-1.722298786,-1.902615254,-2.112752838,-2.247459851,-2.397883178,-2.516895325,-2.732683983,-2.933947422,-3.129272154
Mauritania,0.052042931,,,,,,,,,,11.111116,29.999996,30.76923,41.176476,33.333336,37.5,11.363638,10.204077,18.51852,17.1875,55.999992,-6.8376064,11.926603,4.918027,3.125,5.3030252,1.4388442,7.8014255,4.6052575,3.773582,4.24242,0.5555272,39.34219,6.224072,-7.03125,-24.789917,-43.01676,767.6471,-1.8079102,-11.967778,-69.54248,1.716733,4.219413,2.4291515,3.1620502,6.130266,4.6931386,1.3793111,-0.6802738,2.397263,1.6722441,5.2631617,6.562495,3.2258034,7.3863626,3.7795186,7.8436613,13.387966,4.371524,9.6957445,4.0362716,6.5306783,9.744692,-11.387455,18.330181,16.991674,-12.502408,30.178415,7.146454,2.9908895,9.126223,8.174944,,,,,,,,,,2.711853116,2.779257657,2.826918246,2.858902839,2.88533184,2.917516983,2.955085997,2.968943177,2.973594557,2.98043958,2.972246048,2.952402859,2.940129886,2.948030255,2.969643086,2.986989845,2.993101092,2.95412183,2.929273765,2.945289836,2.965022211,3.008587312,3.037003749,3.032166445,3.02410523,3.009553414,2.979148142,2.960615009,2.96381106,2.560649009,2.593301645,3.018433333,4.009480942,4.262233513,3.543467624,2.814136207,1.979910388,2.23722087,2.629662363,2.722617049,2.829917952,2.455783522,2.13827461,2.164197042,2.181968581,2.23276801,2.296982719,2.37343001,2.579154589,2.805426676,2.921449712,3.0273375,3.093905997,2.879073508,2.623775584,2.625322665,2.653120224,2.645828028,2.675146559,2.700902297,2.680818771,2.663409852
Mauritius,0.079981208,-30.909092,26.315784,6.25,0,-31.372547,71.42856,0,-5.000001,7.017541,-19.67213,4.0816307,35.294106,-17.3913,47.36842,-1.1904776,-9.638554,81.333336,27.94118,-10.344828,-12.820512,-20.588238,74.07408,-1.5957475,2.1621585,-14.814812,4.968941,3.550291,-1.7142832,4.651165,-10.555553,-8.074533,-7.432425,18.978096,4.9079776,12.865496,12.953365,16.513765,-8.267718,23.175966,39.024387,4.0100217,12.289154,3.8626552,-8.471071,12.641085,6.6132307,2.4436116,8.62385,11.824322,10.876131,6.4032674,0.76824427,6.099105,0.95808506,6.6429377,10.122358,1.6161561,2.1868825,-1.5564203,5.5336,0.0936389,1.2160897,2.5877953,3.4234285,0.08710623,3.2201886,4.384482,-1.6962826,1.3968825,-15.80227,7.4584007,2.603767186,2.58363571,2.309781002,2.12753508,2.222875319,2.318116445,2.401053625,2.482120209,2.606305992,2.610067524,2.46343334,2.337900814,2.282069272,2.255749373,2.212182687,2.14868822,2.02729321,1.87298147,1.752172763,1.672923799,1.584029759,1.50660152,1.483950684,1.479709398,1.473136367,1.488425027,1.533074374,1.612447231,1.697292927,1.736138489,1.691415066,1.561419411,1.42270678,1.363092253,1.293304847,1.184991611,1.104082523,1.067003699,1.076705502,1.146219901,1.247945204,1.329955832,1.35589297,1.303425346,1.208496814,1.130754961,1.058964906,0.925176153,0.872635838,0.856915072,0.731816578,0.637025239,0.610072269,0.572660038,0.538669052,0.486403982,0.428706521,0.396395637,0.330440692,0.271402298,0.239453976,0.20993524,0.136725339,0.075219754,0.035042417,-0.013047344,-0.002704711,0.008272528,0.034147058,0.088777342,0.051070805
Mexico,0.568089707,14.362944,6.6576004,-1.3588548,-1.1887372,9.351468,6.232989,16.954601,9.59928,7.9226375,8.175623,3.4695387,-2.293378,3.9980054,11.928916,1.3042808,7.55198,11.33157,4.3127418,8.828629,11.523724,10.738087,4.8217773,8.911371,7.4059486,6.082773,11.941433,4.710281,15.448486,8.16803,11.439789,5.9622645,7.119179,-8.666915,-0.330472,3.875661,2.1023989,4.2976737,-0.11649728,5.82819,-1.990217,4.1290283,0.8018017,1.5887499,4.0748954,-5.8834195,3.2076716,6.1198115,5.1360965,1.3014793,1.4121532,4.0859222,0.6807089,6.2541604,0.6006241,5.661905,2.3941398,-0.209862,-0.13523102,-2.6822507,-0.82966685,5.871105,3.7575364,-1.2129247,-2.2950232,-0.94893575,0.056302547,-2.953136,1.0018706,-0.41755438,-5.558795,5.992067,2.579817087,2.516806858,2.531420727,2.581361781,2.660867951,2.723262494,2.781911582,2.79507882,2.898915707,3.071044533,3.20238942,3.301497838,3.347262959,3.37355094,3.386029406,3.365055512,3.331201264,3.297745666,3.255294019,3.217850984,3.176600802,3.151768891,3.129054871,3.094288522,3.063787719,2.999466275,2.998147556,2.999288778,2.892747277,2.640008459,2.285475509,2.092754681,2.048826585,1.99171835,1.923910759,1.855262873,1.80454113,1.800211976,1.788716929,1.958048584,2.104999543,2.053554262,1.997507127,1.95193004,1.883007436,1.782497156,1.715743023,1.668880035,1.629419136,1.587789124,1.556479279,1.537880798,1.502280678,1.487337549,1.449463411,1.37691699,1.332874747,1.288162329,1.26167303,1.362093103,1.458742626,1.416769056,1.334803193,1.244887162,1.15591024,1.116895074,1.059661363,0.923755941,0.833144839,0.712568692,0.556397383
Micronesia (country),0.211545512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.405402,7.692313,16.666662,2.0408154,5.9999943,3.773582,-5.454546,-5.769229,-8.163267,-8.888888,7.317078,-11.363638,-17.948717,-3.125,16.129028,-16.666668,33.333336,-30.000002,14.285719,6.25,8.823526,0,5.405402,0,0,0,2.5641084,0,4.3470263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.883580934,2.578687609,1.415229939,0.51712788,0.414097112,0.347907382,0.242672416,0.29112643,0.360974466,0.139235355,-0.145966513,-0.346926299,-0.479439762,-0.617368007,-0.694340293,-0.714857057,-0.67662353,-0.124410562,0.359877025,0.382542626,0.415848468,0.426477138,0.41329937,0.426258409,0.442927572,0.430672095,0.358483999,0.60178839,0.887757546
Moldova,0.343761739,8.402157,7.1182847,5.831051,9.256864,13.4299755,9.676706,9.479642,6.8000913,5.215502,4.217577,3.2203555,5.0614715,7.280147,6.3875437,6.1617613,5.6910276,4.634583,2.8675199,4.177308,5.2473664,6.149113,5.250728,4.2840242,3.8769245,5.1650167,3.8398266,3.410542,3.4252524,0.7930994,3.919673,-1.8214643,1.8362641,1.4648676,0.9043813,7.735288,-3.3080816,-3.3322453,4.4671416,-2.2324622,-5.4674864,-19.221586,-28.338247,-24.46482,-21.575726,-8.220493,2.4697423,-37.526424,-11.744481,-27.302052,-23.72883,5.9792876,7.00227,8.700764,4.7489405,7.025671,1.8673062,-1.017803,4.2547703,-12.539893,6.419039,2.361238,-3.6257446,2.8049707,-2.8685808,0.48214197,2.5495052,6.4612865,4.30876,0.9099841,-4.6182513,6.78699,2.769355448,2.839753916,2.864329874,2.937234023,2.938210152,2.910599762,2.889858269,2.80731752,2.658960182,2.485163357,2.293473909,2.051246249,1.813262499,1.610075863,1.499288723,1.466763407,1.425991815,1.415929388,1.409388958,1.369709983,1.328905855,1.292747103,1.270896234,1.248302041,1.200000444,1.146393895,1.082658624,0.994167542,0.907807707,0.857605774,0.844893025,0.850615763,0.85331342,0.843863405,0.793172432,0.808003807,0.868673497,0.769115916,0.558824069,0.361552461,0.169583119,0.035391645,-0.051664752,-0.223299363,-0.420212983,-0.62278416,-0.7282796,-0.794453788,-0.998259903,-1.100697417,-1.091383744,-1.117638121,-1.125057618,-0.959931604,-0.931457697,-1.293206573,-1.545390633,-1.574741562,-1.601348823,-1.900419029,-2.306637368,-2.521227163,-2.68920116,-2.461881528,-2.047198352,-1.828508795,-1.633223201,-1.480822725,-1.299960965,-1.033557392,-0.947844908
Mongolia,0.127135143,2.5641084,2.4999976,1.219511,60.24096,21.052635,16.770184,10.638296,49.03846,18.38709,-3.8147151,7.6487303,41.57895,-18.773233,27.68879,-4.301077,-0.18726587,10.120678,15.32954,8.125055,6.144905,6.53069,8.028483,5.9890747,7.7381253,8.388651,8.273352,12.999619,16.189312,8.909488,9.205019,-3.5082757,1.4760971,3.8251877,-7.8109922,40.052223,6.6369534,9.248161,9.638524,-8.9956875,-6.386405,22.150171,-8.505005,-15.988768,-14.448476,-0.35232902,1.2549639,-4.036474,0.08420944,-1.7571807,-0.7442713,5.0067425,5.030906,-3.2404006,7.1887136,0.16475916,8.996593,28.839624,-0.33485293,9.301985,5.7263494,55.15083,63.796688,24.22347,-31.859566,-21.413023,10.080051,33.189594,32.752846,4.2786,-21.538168,3.182304,1.584455861,1.601872636,1.576136838,1.645497434,1.702390576,2.227300199,2.80484559,2.948501463,3.126112773,3.253308069,3.178099256,2.98927328,2.621162609,2.426543126,2.525213871,2.570337639,2.55690771,2.453496162,2.389830064,2.494438032,2.654021828,2.795190503,2.944889454,3.052130801,3.090275841,3.060970225,2.979351625,2.888266341,2.716076448,2.593740743,2.597504072,2.582469904,2.568570855,2.581209549,2.616227935,2.64651832,2.644073122,2.596637554,2.274736398,1.920594013,1.784325631,1.646107879,1.493852348,1.346922828,1.223174965,1.128626905,1.060162007,1.021041239,1.041210934,1.045058196,1.035795923,1.075431774,1.093534777,1.072808647,1.052778961,1.061698419,1.126082317,1.242204327,1.370202077,1.418599595,1.530818223,1.678877158,1.755447501,1.851311574,1.92861137,1.969253592,1.957683991,1.94584387,1.889686004,1.625480056,1.360732263
Montenegro,0.098826733,-5.3380847,0.4151225,-0.6963074,19.289446,14.517033,14.329254,8.589435,-1.447761,14.636124,9.23233,4.8178554,2.617824,11.246454,13.295401,2.8892756,-0.90845823,1.0077834,6.954229,3.6824584,30.67912,7.775533,-6.273091,19.458794,0.43756962,4.3439507,3.2134295,-2.7525008,11.749601,8.769774,-1.667577,8.830679,-8.129793,7.682061,5.4574966,2.0074725,4.4368625,-2.3695767,3.1870008,-0.30521154,-1.0757506,-29.25328,6.858814,-12.786174,-2.8576374,5.6246996,17.000818,7.5211525,5.257106,-31.049627,25.496805,9.627878,5.936718,6.9607377,8.050251,-14.228434,17.819834,-0.35523772,26.737965,-35.44304,44.00872,-0.6051421,-8.06697,-2.814567,-2.0442903,6.260872,-9.983641,4.363644,14.111495,3.20611,-2.810651,-4.25781,2.122243998,2.512724001,2.370415277,1.754650732,1.464795898,1.377732487,1.312421946,1.277090202,1.24084144,1.16224981,1.101916174,1.067530987,1.048181416,1.062161556,1.108337539,1.172488297,1.213001324,1.229490572,1.214517998,1.151030373,1.138591669,1.174123577,1.156291273,1.136255501,1.122823005,1.113762461,1.105479576,1.089164114,1.07448709,1.083229615,0.846042532,0.491477242,0.37544937,0.385982265,0.420036306,0.452958372,0.487829851,0.533860311,0.558096737,0.557784247,0.533523417,0.380063662,0.223110511,0.153766213,0.123032417,0.114851692,0.083125681,0.054278812,-0.013456956,-0.049100176,-0.036307852,-0.044695327,-0.060789444,0.002306985,0.00129968,-0.107319669,-0.154858578,-0.123727179,-0.070877363,-0.001827864,0.144501784,0.170792133,0.099730029,0.00087766,-0.136491191,-0.184038097,-0.208541494,-0.257373762,-0.27992327,-0.326146845,-0.291186547
